corridor_id,direction,km_marker,arrival_offset_minutes
el-bousten-hached,outbound,0.0,3
el-bousten-hached,inbound,0.0,24
el-bousten-hached,outbound,0.5,5
el-bousten-hached,inbound,0.5,23
el-bousten-hached,outbound,1.0,6
el-bousten-hached,inbound,1.0,21
el-bousten-hached,outbound,1.5,8
el-bousten-hached,inbound,1.5,20
el-bousten-hached,outbound,2.0,9
el-bousten-hached,inbound,2.0,18
el-bousten-hached,outbound,2.5,11
el-bousten-hached,inbound,2.5,17
el-bousten-hached,outbound,3.0,12
el-bousten-hached,inbound,3.0,15
el-bousten-hached,outbound,3.5,14
el-bousten-hached,inbound,3.5,14
el-bousten-hached,outbound,4.0,15
el-bousten-hached,inbound,4.0,12
el-bousten-hached,outbound,4.5,17
el-bousten-hached,inbound,4.5,11
el-bousten-hached,outbound,5.0,18
el-bousten-hached,inbound,5.0,9
el-bousten-hached,outbound,5.5,20
el-bousten-hached,inbound,5.5,8
el-bousten-hached,outbound,6.0,21
el-bousten-hached,inbound,6.0,6
el-bousten-hached,outbound,6.5,23
el-bousten-hached,inbound,6.5,5
el-bousten-hached,outbound,7.0,24
el-bousten-hached,inbound,7.0,3
route-gabes-thyna,outbound,0.0,4
route-gabes-thyna,inbound,0.0,45
route-gabes-thyna,outbound,0.5,6
route-gabes-thyna,inbound,0.5,43
route-gabes-thyna,outbound,1.0,7
route-gabes-thyna,inbound,1.0,41
route-gabes-thyna,outbound,1.5,9
route-gabes-thyna,inbound,1.5,40
route-gabes-thyna,outbound,2.0,11
route-gabes-thyna,inbound,2.0,38
route-gabes-thyna,outbound,2.5,13
route-gabes-thyna,inbound,2.5,36
route-gabes-thyna,outbound,3.0,14
route-gabes-thyna,inbound,3.0,35
route-gabes-thyna,outbound,3.5,16
route-gabes-thyna,inbound,3.5,33
route-gabes-thyna,outbound,4.0,18
route-gabes-thyna,inbound,4.0,31
route-gabes-thyna,outbound,4.5,19
route-gabes-thyna,inbound,4.5,30
route-gabes-thyna,outbound,5.0,21
route-gabes-thyna,inbound,5.0,28
route-gabes-thyna,outbound,5.5,23
