line_code,first_departure,last_departure,frequency_minutes
1,05:35,21:40,15
2,05:40,21:30,16
3,05:50,20:50,24
4,05:45,21:00,22
5,05:35,21:35,15
5A,06:00,20:45,28
6,05:30,21:45,12
6A,05:55,21:10,22
7,05:45,21:20,18
8,05:45,21:00,19
9,05:30,21:50,16
10,05:50,20:50,24
11,06:00,20:30,25
12,05:50,21:00,23
13,05:40,21:25,20
13A,06:05,20:40,28
14,06:00,20:40,24
14A,06:10,20:20,30
14B,06:15,20:00,34
15,05:50,21:15,20
16,05:45,21:25,18
16A,05:55,21:00,24
16B,06:05,20:55,26
16D,06:05,20:45,30
17,05:55,20:30,22
18,05:35,21:25,18
18A,05:55,20:50,28
20,06:00,20:40,25
22,06:10,20:20,28
23,05:50,21:05,22
24,06:10,19:40,20
25,06:15,19:50,24
30,05:55,21:10,22
